id,issue_name,issue_dt,cover,issue,,,,,,,,1468,1290
1302,№ 7 (102),2003-04-11 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1302/issue.pdf,,,,,,,,,
1402,№ 8 (103),2003-04-25 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1402/issue.pdf,,,,,,,,,
1420,№ 9 (104),2003-05-09 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1420/issue.pdf,,,,,,,,,
1237,№ 10 (105),2003-05-23 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1237/issue.pdf,,,,,,,,,
1146,№ 11 (106),2003-06-06 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1146/issue.pdf,,,,,,,,,
1293,№ 12 (107),2003-06-20 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1293/issue.pdf,,,,,,,,,
1191,№ 13 (108),2003-07-04 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1191/issue.pdf,,,,,,,,,
1371,№ 14 (109),2003-07-18 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1371/issue.pdf,,,,,,,,,
1170,№ 15 (110),2003-08-01 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1170/issue.pdf,,,,,,,,,
1439,№ 16 (111),2003-08-29 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1439/issue.pdf,,,,,,,,,
1350,№ 17 (112),2003-09-12 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1350/issue.pdf,,,,,,,,,
1442,№ 18 (113),2003-09-26 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1442/issue.pdf,,,,,,,,,
